date,description,transactionId,journalEntryId,transaction_type,net_amount_nok,direction,category,expense_accounts,has_reversals
2025-01-13,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790604327844,8152981521,8153008356,Kjøp,409.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-01-02,Skattemelding og årsregnskap for 2024,8211766515,8211763863,Kjøp,1862.50,Outflow,Programvare og datasystemer,"2400:20001,2711,6553",No
2025-01-03,feriepenger,8230243996,8230441660,Fri,3897.00,Outflow,Personalkostnader,"1920:10002,1920:10003",No
2025-01-15,Overføring av lønn og forskuddstrekk januar 2025,8230244031,8230441921,Lønn,17794.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-01-15,Overføring av lønn og forskuddstrekk januar 2025,8230244031,8230441921,Lønn,9335.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-01-15,Overføring av lønn og forskuddstrekk januar 2025,8230244031,8230441921,Lønn,5346.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-01-02,Se Detaljer i Fakturaoversikt Nettb Desember 2024 for foretak 00934297571,8248076910,8248079580,Bankomkostning,242.75,Outflow,ADK,7770,No
2025-01-10,Betaling  (faktura #10015),8214836678,8279425066,Salg,6165.60,Inflow,Income,"1500:10006,2965,3000,3020,3200",No
2025-01-06,"Kjøp, kontant: Utlegg månedlig abonnement Adobe ",8284810234,8284797634,Kjøp,130.00,Outflow,Programvare og datasystemer,"2711,6553",No
2025-01-15,Betaling  (faktura #10016),8214836679,8304952932,Salg,29833.00,Inflow,Income,"1500:10007,2701,2965,3000,3020",No
2025-01-02,Betaling  (faktura #5144237022),8304963416,8304952952,Kjøp,332.69,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-01-06,Betaling  (faktura #20250104745205),8304963426,8304952972,Kjøp,233.13,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-01-06,Betaling  (faktura #20250103220689),8304963430,8304952980,Kjøp,117.92,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-02-17,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 83981100983 med kid/melding 100308790604428980,8316654566,8316674236,Kjøp,413.00,Outflow,Personalkostnader,"2400:20006,5950",No
2025-02-10,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 60940554724 med kid/melding 048575021,8316654573,8316674247,Kjøp,189.00,Outflow,Programvare og datasystemer,"2400:20012,2711,6553",No
2025-01-17,Betaling  (faktura #10017),8230784118,8334235251,Salg,1412.50,Inflow,Income,"1500:10012,2701,3000",No
2025-02-03,Se Detaljer i Fakturaoversikt Nettb Januar 2025 for foretak 00934297571,8383332019,8383389486,Bankomkostning,255.25,Outflow,ADK,7770,No
2025-02-03,Betaling  (faktura #10020),8313647510,8383389507,Salg,7200.00,Inflow,Income,"1500:10007,2701,3020",No
2025-01-31,Betaling  (faktura #10019),8304963848,8383389530,Salg,3600.00,Inflow,Income,"1500:10007,2701,3020",No
2025-01-29,Betaling  (faktura #10018),8290101189,8383389542,Salg,885.74,Inflow,Income,"1500:10004,3000",No
2025-02-14,Betaling sendt med betalingsfil fra kontonummer 15201207727 til kontonummer 60940554724 med kid/melding 048951552,8415856060,8415907942,Kjøp,169.00,Outflow,Programvare og datasystemer,"2400:20012,2711,6553",No
2025-02-10,Betaling av merverdiavgift (mva-melding nov-des 2024),8415856064,8415907965,Mva-oppgjør,5108.00,Outflow,MVA,"2701,2702,2711,2712,2740,7740",No
2025-02-05,Betaling ,8419249026,8419276790,Kjøp,130.00,Outflow,Programvare og datasystemer,"2400:20013,2711,6553",No
2025-02-07,Betaling ,8419298334,8419302331,Kjøp,58.81,Outflow,Programvare og datasystemer,"2400:20007,2702,2712,6553",No
2025-02-05,Betaling  (faktura #10021),8320071005,8424231715,Salg,41775.00,Inflow,Income,"1500:10015,2701,2965,3020",No
2025-02-05,Betaling  (faktura #20250204858139),8424233427,8424231754,Kjøp,234.75,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-02-04,Betaling  (faktura #20250203893675),8424233443,8424231784,Kjøp,117.88,Outflow,Programvare og datasystemer,"2400:20011,2702,2712,6553,8160",No
2025-02-03,Betaling  (faktura #5165031577),8424233539,8424231924,Kjøp,332.08,Outflow,Programvare og datasystemer,"2400:20005,2702,2712,6553,8160",No
2025-02-03,Betaling  (faktura #76459713),8424233550,8424231942,Kjøp,16.37,Outflow,Programvare og datasystemer,"2400:20010,2702,2712,6553,8160",No
2025-01-02,"Kjøp, kontant: mailgun. Benyttet valutakurs 11,3529 for 2025-01-02.",8424233684,8424265136,Kjøp,14.42,Outflow,Programvare og datasystemer,"2702,2712,6553,8160",No
2025-01-22,Betaling,8424233922,8424265500,Kjøp,105.37,Outflow,Programvare og datasystemer,"2400:20009,2702,2712,6553,8160",No
2025-01-29,Betaling,8424291092,8424265747,Kjøp,1467.98,Outflow,Programvare og datasystemer,"1749,2400:20015,2711,6553",No
2025-01-06,Betaling,8424291388,8424299178,Kjøp,4478.25,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-01-23,Betaling,8424291504,8424299398,Kjøp,1584.66,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-01-06,Betaling,8424291644,8424299612,Kjøp,2095.46,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-02-11,feriepenger,8425480740,8425565082,Fri,3591.00,Outflow,Personalkostnader,"1920:10002,1920:10003",No
2025-02-14,Overføring av lønn og forskuddstrekk februar 2025,8425480753,8425565113,Lønn,18583.14,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-02-14,Overføring av lønn og forskuddstrekk februar 2025,8425480753,8425565113,Lønn,9023.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-02-14,Overføring av lønn og forskuddstrekk februar 2025,8425480753,8425565113,Lønn,3108.00,Outflow,Personalkostnader,"1950:10001,2600,2771,2785,2930:10001,2930:10002,2941,5001,5092,5401,5405,7740",No
2025-02-10,Betaling  (faktura #10022),8324302453,8425565876,Salg,15289.80,Inflow,Income,"1500:10008,3020",No
2025-02-03,Betaling,8425776753,8425815226,Kjøp,1637.50,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-02-07,Betaling,8425776796,8425815288,Kjøp,1618.17,Outflow,Programvare og datasystemer,"2400:20003,2711,6420",No
2025-01-06,Betaling,8436953749,8436963832,Kjøp,2095.46,Outflow,Programvare og datasystemer,"2400:20003,2711,6553",No
2025-01-23,Betaling,8436953767,8436963864,Kjøp,1584.66,Outflow,Programvare og datasystemer,"2400:20003,2711,6553",No
2025-02-07,Betaling,8436953779,8436963888,Kjøp,1618.17,Outflow,Programvare og datasystemer,"2400:20003,2711,6553",No
2025-02-03,Betaling,8436953789,8436963905,Kjøp,1637.50,Outflow,Programvare og datasystemer,"2400:20003,2711,6553",No
